date,year,quarter,gap_viog,gap_inv_viog,gap_bhp,gap_cf,gap_bk,gap_bw,gap_kalman,source
2011-07-01,2011,3,0.013823480262114884,0.014526464820709961,0.012935282083059718,0.01923366697578288,0.011406023203592852,0.015061864219282128,0.012377016940417818,DANE Cuentas Nacionales
2011-10-01,2011,4,0.011010058895271513,0.011671915720294024,0.007394157269796864,0.019519589049012964,0.012157064021694808,0.009422927681404403,0.008507762407976571,DANE Cuentas Nacionales
2012-01-01,2012,1,0.010626466771078924,0.01027954722589186,0.00986247281873176,0.010901011143694461,0.006860893496444476,0.011617163703141031,0.012762303212964454,DANE Cuentas Nacionales
2012-04-01,2012,2,0.0034296714116450744,0.0023274113131623864,0.0033724533199972484,-0.0012725614418620523,-0.0011306171847831337,0.004705013984052542,0.008162518557741194,DANE Cuentas Nacionales
2012-07-01,2012,3,-0.009591526318693866,-0.010622134896724589,-0.013567240550903747,-0.010005792635016775,-0.007663370008605952,-0.012751798348363153,-0.006816687370635677,DANE Cuentas Nacionales
2012-10-01,2012,4,-0.009084051092349554,-0.010555949728411562,-0.012872137134431583,-0.010833143401921319,-0.009108221659777982,-0.012605502212769792,-0.004179516067843281,DANE Cuentas Nacionales
2013-01-01,2013,1,-0.0063318822552265175,-0.007855542663659065,-0.012027202254515146,-0.005404542489435116,-0.004780179084395542,-0.01230049478622064,-0.0014337256547314325,DANE Cuentas Nacionales
2013-04-01,2013,2,0.009793702638352997,0.006991612455157892,0.008574629883321805,0.0008518566380928405,0.002601487187710916,0.007788726154624115,0.020957234081548037,DANE Cuentas Nacionales
2013-07-01,2013,3,0.006530652410784654,0.0040406723729766725,0.00011434964943468628,0.0033624930859943447,0.009133506848304052,-0.0011597688803171025,0.014198219675396473,DANE Cuentas Nacionales
2013-10-01,2013,4,0.009813705685632002,0.006588891737834501,0.0040341222008244415,0.0017885525621696985,0.01225440717535875,0.0023087898495930403,0.019606390873256885,DANE Cuentas Nacionales
2014-01-01,2014,1,0.012839158161003894,0.0087953730793906,0.008923766092397756,-0.0007216018599258689,0.011962336001440477,0.0067943559549394905,0.02573417803007949,DANE Cuentas Nacionales
2014-04-01,2014,2,0.007680491979474624,0.0038572410899107012,0.0010346530397580267,-0.001258849048014099,0.010468551918922486,-0.0014383499453511916,0.01881696461633986,DANE Cuentas Nacionales
2014-07-01,2014,3,0.008635794649821449,0.00464939445388346,0.0021004519380039,0.0001493045666691728,0.0097047858471484,-0.0006316585413230769,0.020521519410957367,DANE Cuentas Nacionales
2014-10-01,2014,4,0.010191709990847286,0.005997016157254009,0.003950694415211231,0.0009647960799696875,0.010334188908016628,0.0010623409806278516,0.02266994865750327,DANE Cuentas Nacionales
2015-01-01,2015,1,0.009292575254628233,0.0049552398348691185,0.002556294300745776,-0.0007717739632422393,0.011532041506564283,-0.00037158640657075637,0.02123423224888299,DANE Cuentas Nacionales
