date,year,quarter,gap_viog,gap_inv_viog,gap_bhp,gap_cf,gap_bk,gap_bw,gap_kalman,source,gap_ref
1975-07-01,1975,3,-0.030204135650309993,-0.013635417090306134,-0.02278552170150583,-0.029697769926123385,-0.029657858620369737,-0.029444411586529995,-0.0006148336958204936,FRED/CBO,-0.03939066750111131
1975-10-01,1975,4,-0.02433015766051838,-0.010426037464467797,-0.017596766375261197,-0.022158860190945262,-0.021777859493296248,-0.025379898093675024,4.90737472276237e-05,FRED/CBO,-0.03365596784071734
1976-01-01,1976,1,-0.013460905246141408,-0.005173286370656172,-0.004155042933799535,-0.015384351093057802,-0.014971461800506347,-0.01254072909453896,0.0008389181497623355,FRED/CBO,-0.01898104060632555
1976-04-01,1976,2,-0.013170859906166399,-0.005044261733265998,-0.006171505744031691,-0.012571573969129446,-0.011614542521943605,-0.01465772984852265,0.0007509151232287792,FRED/CBO,-0.019320067740842717
1976-07-01,1976,3,-0.015194251172959028,-0.006161826313535457,-0.010464806237916235,-0.013119125034215529,-0.010764683335034775,-0.01857688247602418,0.00032749935023268506,FRED/CBO,-0.02166603061545125
1976-10-01,1976,4,-0.01641504983440001,-0.006953804985702305,-0.013342307613399385,-0.014408049977737036,-0.010305539195604396,-0.020644299290848878,-0.00010434167634620906,FRED/CBO,-0.022323094116206477
1977-01-01,1977,1,-0.01438997689010435,-0.006226429854180537,-0.01190835420763392,-0.01378790632369764,-0.008909132255006114,-0.01802213414830689,-0.0002954579287131054,FRED/CBO,-0.018657355964561972
1977-04-01,1977,2,-0.0069602292939006105,-0.003012841848871517,-0.0030332309527540957,-0.010346847697086048,-0.006013973231890901,-0.007662196341589933,-0.0001272234399909422,FRED/CBO,-0.007606191348598301
1977-07-01,1977,3,0.00028984293732570166,0.00013542104457187065,0.004562028761220915,-0.005103742415936807,-0.0015734171168517719,0.0016126160396829903,-3.793544891550482e-05,FRED/CBO,0.0020167588450963336
1977-10-01,1977,4,-0.0030798932949060998,-0.001455038000997888,-0.0054545267844225975,0.0005950407411621228,0.003866248822397722,-0.006635124601475084,-0.000634677924836069,FRED/CBO,-0.006376459489171538
